decile,calendar_year,avg_active_categories,n_active_customers
D1,2022,1.28,116
D2,2022,1.12,85
D3,2022,1.1,152
D4,2022,,0
D5,2022,,0
D6,2022,1.0,4
D7,2022,,0
D8,2022,1.07,320
D9,2022,1.04,24
D10,2022,1.04,303
D1,2023,1.63,131
D2,2023,1.6,57
D3,2023,1.41,56
D4,2023,,0
D5,2023,,0
D6,2023,1.0,1
D7,2023,1.35,83
D8,2023,1.37,83
D9,2023,1.19,37
D10,2023,1.22,95
D1,2024,2.01,230
D2,2024,1.9,120
D3,2024,1.66,106
D4,2024,,0
D5,2024,,0
D6,2024,1.0,1
D7,2024,1.49,320
D8,2024,1.8,15
D9,2024,1.39,354
D10,2024,1.53,17
D1,2025,1.92,253
D2,2025,1.98,213
D3,2025,1.54,37
D4,2025,1.43,178
D5,2025,1.66,423
D6,2025,1.66,419
D7,2025,1.58,26
D8,2025,1.6,5
D9,2025,1.64,11
D10,2025,1.4,10
