decile,calendar_year,avg_active_categories,n_active_customers
D1,2022,1.2,189
D2,2022,1.12,102
D3,2022,1.12,77
D4,2022,1.1,60
D5,2022,1.19,91
D6,2022,1.12,51
D7,2022,1.05,76
D8,2022,1.01,103
D9,2022,1.0,134
D10,2022,1.0,121
D1,2023,1.62,103
D2,2023,1.63,82
D3,2023,1.46,41
D4,2023,1.44,50
D5,2023,1.48,54
D6,2023,1.41,54
D7,2023,1.28,47
D8,2023,1.1,71
D9,2023,1.05,41
D10,2023,,0
D1,2024,2.1,173
D2,2024,1.87,162
D3,2024,1.9,105
D4,2024,1.68,144
D5,2024,1.62,130
D6,2024,1.55,98
D7,2024,1.23,120
D8,2024,1.19,166
D9,2024,1.16,62
D10,2024,1.0,3
D1,2025,2.11,202
D2,2025,1.92,169
D3,2025,1.84,172
D4,2025,1.7,128
D5,2025,1.67,127
D6,2025,1.35,158
D7,2025,1.24,127
D8,2025,1.4,58
D9,2025,1.49,134
D10,2025,1.84,300
